,Unnamed: 0,Artist,url_songs,Num songs
56,56,Selena Gomez,https://kworb.net/spotify/artist/0C8ZW7ezQVs4URX5aX7Kqx_songs.html,157.0
57,57,Ty Dolla $ign,https://kworb.net/spotify/artist/7c0XG5cIJTrrAgEC3ULPiq_songs.html,493.0
58,58,Shakira,https://kworb.net/spotify/artist/0EmeFodog0BfCgMzAIvKQp_songs.html,263.0
59,59,Halsey,https://kworb.net/spotify/artist/26VFTg2z8YR0cCuwLzESi2_songs.html,194.0
60,60,Nicky Jam,https://kworb.net/spotify/artist/1SupJlEpv7RS2tPNRaHViT_songs.html,314.0
61,61,Metro Boomin,https://kworb.net/spotify/artist/0iEtIxbK0KxaSlF7G42ZOp_songs.html,242.0
62,62,Arijit Singh,https://kworb.net/spotify/artist/4YRxDV8wJFPHPTeXepOstw_songs.html,491.0
63,63,Katy Perry,https://kworb.net/spotify/artist/6jJ0s89eD6GaHleKKya26X_songs.html,176.0
64,64,Linkin Park,https://kworb.net/spotify/artist/6XyY86QOPPrYVGvF9ch6wz_songs.html,443.0
65,65,Gunna,https://kworb.net/spotify/artist/2hlmm7s2ICUX0LVIhVFlZQ_songs.html,358.0
66,66,The Beatles,https://kworb.net/spotify/artist/3WrFJ7ztbogyGnTHbHJFl2_songs.html,497.0
67,67,Wiz Khalifa,https://kworb.net/spotify/artist/137W8MRPWKqSmrBGDBFSop_songs.html,498.0
68,68,The Chainsmokers,https://kworb.net/spotify/artist/69GGBxA162lTqCwzJG5jLp_songs.html,260.0
69,69,Marshmello,https://kworb.net/spotify/artist/64KEffDW9EtZ1y2vBYgq8T_songs.html,222.0
70,70,Arctic Monkeys,https://kworb.net/spotify/artist/7Ln80lUS6He07XvHI8qqHH_songs.html,122.0
71,71,Cardi B,https://kworb.net/spotify/artist/4kYSro6naA4h99UJvo89HB_songs.html,131.0
72,72,Miley Cyrus,https://kworb.net/spotify/artist/5YGY8feqx7naU7z4HrwZM6_songs.html,230.0
73,73,Olivia Rodrigo,https://kworb.net/spotify/artist/1McMsnEElThX1knmY4oliG_songs.html,55.0
74,74,JAY-Z,https://kworb.net/spotify/artist/3nFkdlSjzX9mRTtwJOzDYB_songs.html,418.0
75,75,Camila Cabello,https://kworb.net/spotify/artist/4nDoRrQiYLoBzwC5BhVJzF_songs.html,100.0
76,76,Morgan Wallen,https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_songs.html,119.0
77,77,A$AP Rocky,https://kworb.net/spotify/artist/13ubrt8QOOCPljQ2FL1Kca_songs.html,223.0
78,78,Pitbull,https://kworb.net/spotify/artist/0TnOYISbd1XYRBk9myaseg_songs.html,489.0
79,79,DaBaby,https://kworb.net/spotify/artist/4r63FhuTkUYltbVAg5TQnk_songs.html,241.0
80,80,Avicii,https://kworb.net/spotify/artist/1vCWHaC5f2uS3yhpwWbIA6_songs.html,253.0
81,81,Peso Pluma,https://kworb.net/spotify/artist/12GqGscKJx3aE4t07u7eVZ_songs.html,130.0
82,82,Frank Ocean,https://kworb.net/spotify/artist/2h93pZq0e7k5yf4dywlkpM_songs.html,66.0
83,83,Twenty One Pilots,https://kworb.net/spotify/artist/3YQKmKGau1PzlVlkL1iodx_songs.html,139.0
84,84,Kygo,https://kworb.net/spotify/artist/23fqKkggKUBHNkbKtXEls4_songs.html,156.0
85,85,Quavo,https://kworb.net/spotify/artist/0VRj0yCOv2FXJNP47XQnx5_songs.html,288.0
86,86,"Tyler, The Creator",https://kworb.net/spotify/artist/4V8LLVI7PbaPR0K2TGSxFF_songs.html,205.0
87,87,Sech,https://kworb.net/spotify/artist/77ziqFxp5gaInVrF2lj4ht_songs.html,185.0
88,88,OneRepublic,https://kworb.net/spotify/artist/5Pwc4xIPtQLFEnJriah9YJ_songs.html,214.0
89,89,Red Hot Chili Peppers,https://kworb.net/spotify/artist/0L8ExT028jH3ddEcZwqJJ5_songs.html,269.0
90,90,Snoop Dogg,https://kworb.net/spotify/artist/7hJcb9fa4alzcOq3EaNPoG_songs.html,498.0
91,91,Tyga,https://kworb.net/spotify/artist/5LHRHt1k9lMyONurDHEdrp_songs.html,415.0
92,92,Trippie Redd,https://kworb.net/spotify/artist/6Xgp2XMz1fhVYe7i6yNAax_songs.html,354.0
93,93,Arcángel,https://kworb.net/spotify/artist/4SsVbpTthjScTS7U2hmr1X_songs.html,434.0
94,94,Michael Jackson,https://kworb.net/spotify/artist/3fMbdgg4jU18AjLCKBhRSm_songs.html,322.0
95,95,$uicideboy$,https://kworb.net/spotify/artist/1VPmR4DJC1PlOtd0IADAO0_songs.html,371.0
96,96,Jason Derulo,https://kworb.net/spotify/artist/07YZf4WDAMNwqr4jfgOZ8y_songs.html,223.0
97,97,Mac Miller,https://kworb.net/spotify/artist/4LLpKhyESsyAXpc4laK94U_songs.html,250.0
98,98,Pritam,https://kworb.net/spotify/artist/1wRPtKGflJrBx9BmLsSwlU_songs.html,489.0
99,99,Bebe Rexha,https://kworb.net/spotify/artist/64M6ah0SkkRsnPGtGiRAbb_songs.html,211.0
100,100,Tiësto,https://kworb.net/spotify/artist/2o5jDhtHVPhrJdv3cEQ99Z_songs.html,491.0
101,101,Playboi Carti,https://kworb.net/spotify/artist/699OTQXzgjhIYAHMy9RyPD_songs.html,123.0
102,102,Elton John,https://kworb.net/spotify/artist/3PhoLpVuITZKcymswpck5b_songs.html,487.0
103,103,Charlie Puth,https://kworb.net/spotify/artist/6VuMaDnrHyPL1p4EHjYLi7_songs.html,129.0
104,104,A Boogie Wit da Hoodie,https://kworb.net/spotify/artist/31W5EY0aAly4Qieq6OFu6I_songs.html,285.0
105,105,Swae Lee,https://kworb.net/spotify/artist/1zNqQNIdeOUZHb8zbZRFMX_songs.html,135.0
106,106,Demi Lovato,https://kworb.net/spotify/artist/6S2OmqARrzebs0tKUEyXyp_songs.html,293.0
107,107,50 Cent,https://kworb.net/spotify/artist/3q7HBObVc0L8jNeTe5Gofh_songs.html,223.0
108,108,Pop Smoke,https://kworb.net/spotify/artist/0eDvMgVFoNV3TpwtrVCoTj_songs.html,108.0
109,109,YoungBoy Never Broke Again,https://kworb.net/spotify/artist/7wlFDEWiM5OoIAt8RSli8b_songs.html,500.0
110,110,Kodak Black,https://kworb.net/spotify/artist/46SHBwWsqBkxI7EeeBEQG7_songs.html,401.0
111,111,Big Sean,https://kworb.net/spotify/artist/0c173mlxpT3dSFRgMO8XPh_songs.html,310.0
112,112,Junior H,https://kworb.net/spotify/artist/7Gi6gjaWy3DxyilpF1a8Is_songs.html,164.0
113,113,Sebastian Yatra,https://kworb.net/spotify/artist/07YUOmWljBTXwIseAUd9TW_songs.html,136.0
114,114,Manuel Turizo,https://kworb.net/spotify/artist/0tmwSHipWxN12fsoLcFU3B_songs.html,117.0
115,115,Migos,https://kworb.net/spotify/artist/6oMuImdp5ZcFhWP0ESe6mG_songs.html,324.0
116,116,BLACKPINK,https://kworb.net/spotify/artist/41MozSoPIsD1dJM0CLPjZF_songs.html,102.0
117,117,Metallica,https://kworb.net/spotify/artist/2ye2Wgw4gimLv2eAKyk1NB_songs.html,490.0
118,118,Romeo Santos,https://kworb.net/spotify/artist/5lwmRuXgjX8xIwlnauTZIP_songs.html,155.0
119,119,Die drei ???,https://kworb.net/spotify/artist/3meJIgRw7YleJrmbpbJK6S_songs.html,500.0
120,120,Alan Walker,https://kworb.net/spotify/artist/7vk5e3vY1uw9plTHJAMwjN_songs.html,238.0
121,121,Daft Punk,https://kworb.net/spotify/artist/4tZwfgrHOc3mvqYlEYSvVi_songs.html,209.0
122,122,Lil Peep,https://kworb.net/spotify/artist/2kCcBybjl3SAtIcwdWpUe3_songs.html,164.0
123,123,JHAYCO,https://kworb.net/spotify/artist/6nVcHLIgY5pE2YCl8ubca1_songs.html,124.0
124,124,G-Eazy,https://kworb.net/spotify/artist/02kJSzxNuaWGqwubyUba0Z_songs.html,300.0
125,125,Diplo,https://kworb.net/spotify/artist/5fMUXHkw8R8eOP2RNVYEZX_songs.html,491.0
126,126,Justin Timberlake,https://kworb.net/spotify/artist/31TPClRtHm23RisEBtV3X7_songs.html,227.0
127,127,Ellie Goulding,https://kworb.net/spotify/artist/0X2BH1fck6amBIoJhDVmmJ_songs.html,264.0
128,128,The Neighbourhood,https://kworb.net/spotify/artist/77SW9BnxLY8rJ0RciFqkHh_songs.html,106.0
129,129,P!nk,https://kworb.net/spotify/artist/1KCSPY1glIKqW2TotWuXOR_songs.html,260.0
